U1  , TTSD , NGC 129\\
U2  , TMO , M32 = NGC 221\\
U3  , TMO , M31 = NGC 224 = Andromeda Galaxy\\
U4  , TCO , C13 = NGC 457 = Owl Cluster\\
U5  , TCO , C10 = NGC 663\\
U6  , TTSD , Cr 463\\
U7  , TCO , C28 = NGC 752\\
U8  , TTSD , Stock 2\\
U9  , TMO/TCO , NGC 869 = h Persei Cluster\\
U10 , TMO/TCO , NGC 884 = $\chi$ Persei Cluster\\
U11 ,  , Tr 2\\
U12 , TMO , M77 = NGC 1068\\
U13 ,  , Tr 3\\
U14 ,  , Stock 23 = Pazmino's Cluster\\
U15 ,  , Mel 20 = $\alpha$ Per Cluster\\
U16 , TTSD , NGC 1342\\
U17 , TMO , M45 = Mel 22 = Pleiades\\
U18 , TCO , C41 = Mel 25 = Hyades\\
U19 , TCO/HT  , NGC 1647\\
U20 , TTSD , NGC 1807\\
U21 , TTSD , NGC 1817\\
U22 , TMO , M38 = NGC 1912\\
U23 , TMO , M36 = NGC 1960\\
U24 , TMO , M42 = NGC 1976 = Orion Nebula\\
U25 , HT  , NGC 1981\\
U26 , TMO , M37 = NGC 2099\\
U27 , TMO , M35 = NGC 2168\\
U28 , HT  , NGC 2169\\
U29 , TTSD , NGC 2232\\
U30 , TCO , C50 = NGC 2244\\
U31 , HT  , NGC 2264\\
U32 , TTSD , NGC 2281\\
U33 , TMO , M41 = NGC 2287\\
U34 , HT  , NGC 2301\\
U35 , TMO , M50 = NGC 2323\\
U36 , TMO/TCO , C39 = NGC 2392 = Eskimo Nebula\\
U37 , HT  , NGC 2539\\
U38 , TMO , M48 = NGC 2548\\
U39 , TMO , M44 = NGC 2632 = Beehive Cluster\\
U40 , TMO , M67 = NGC 2682\\
U41 , TMO , M81 = NGC 3031\\
U42 , TMO , M82 = NGC 3034\\
U43 , TMO/TCO , C59 = NGC 3242 = Ghost of Jupiter\\
U44 , HT  , Mel 111 = Coma Star Cluster\\
U45 , TMO , M84 = NGC 4374\\
U46 , TMO , M86 = NGC 4406\\
U47 , TMO , M87 = NGC 4486\\
U48 , TMO , M104 = NGC 4594 = Sombrero Galaxy\\
U49 , TMO , M94 = NGC 4736\\
U50 , TMO , M64 = NGC 4826 = Black-Eye Galaxy\\
U51 , TMO , M3 = NGC 5272\\
U52 , TMO , M5 = NGC 5904\\
U53 , TMO , M4 = NGC 6121\\
U54 , TMO , M13 = NGC 6205 = Hercules Cluster\\
U55 , HT  , NGC 6210\\
U56 , TMO , M12 = NGC 6218\\
U57 , TMO , M10 = NGC 6254\\
U58 , TMO , M62 = NGC 6266\\
U59 , TMO , M92 = NGC 6341\\
U60 , TMO , M6 = NGC 6405 = Butterfly Nebula\\
U61 , HT  , IC 4665\\
U62 , TMO , M7 = NGC 6475\\
U63 , HT  , NGC 6520\\
U64 , TMO , M8 = NGC 6523/6530 = Lagoon Nebula\\
U65 , TMO , M17 = NGC 6618 = Omega Nebula\\
U66 , HT  , NGC 6633\\
U67 , TMO , M22 = NGC 6656\\
U68 , HT  , IC 4756\\
U69 , TMO , M11 = NGC 6705 = Wild Duck Cluster\\
U70 , HT  , NGC 6709\\
U71 , TMO , M57 = NGC 6720 = Ring Nebula\\
U72 , TMO/HT  , Cr 399 = Brocchi's Cluster\\
U73 , HT  , NGC 6818\\
U74 ,  , NGC 6826\\
U75 , TMO , M27 = NGC 6853 = Dumbell Nebula\\
U76 , TTSD , NGC 6910\\
U77 ,  , NGC 6934\\
U78 , HT  , NGC 6940\\
U79 ,  , NGC 7009\\
U80 , TMO , M15 = NGC 7078\\
U81 , TMO , M2 = NGC 7089\\
U82 , TMO , M39 = NGC 7092\\
U83 , TTSD , NGC 7160\\
U84 , TTSD , NGC 7209\\
U85 ,  , NGC 7243\\
U86 ,  , NGC 7662\\
U87 , TCO/HT  , NGC 7789\\
